"","C11 - Hospitales Generales","802000031","AB00146/00000249","HOSPITAL QUIRONSALUD  ALBACETE","Castilla - La Mancha","Albacete","Albacete","PLAZA","DEL MADROÑO","11","2008","ALBACETE@QUIRONSALUD.ES","967245183","967190072"," ","Privados","Privados","13/05/1994","11/11/2019","Modificacion administrativa","U.10 Endocrinología,U.11 Nutrición y Dietética,U.13 Medicina interna,U.16 Neumología,U.17 Neurología,U.18 Neurofisiología,U.2 Enfermería,U.20 Pediatría,U.25 Obstetricia,U.26 Ginecología,U.35 Anestesia y Reanimación,U.36 Tratamiento del dolor,U.37 Medicina intensiva,U.39 Angiología y Cirugía Vascular,U.4 Podología,U.40 Cirugía cardiaca,U.41 Hemodinámica,U.42 Cirugía torácica,U.43 Cirugía general y digestivo,U.44 Odontología/Estomatología,U.46 Cirugía plástica y reparadora,U.48 Medicina estética,U.49 Neurocirugía,U.50 Oftalmología,U.52 Otorrinolaringología,U.53 Urología,U.55 Cirugía ortopédica y Traumatología,U.59 Fisioterapia,U.6 Alergología,U.68 Urgencias,U.69 Psiquiatría,U.7 Cardiología,U.72 Obtención de muestras,U.73 Análisis clínicos,U.79 Hematología clínica,U.8 Dermatología,U.82 Servicio de transfusión,U.83 Farmacia,U.87 Medicina nuclear,U.88 Radiodiagnóstico,U.9 Aparato digestivo,U.900 Otras unidades asistenciales,U.91 Medicina de la educación física y el deporte,U.96 Implantación de tejidos,","38.985394091362","-1.8442565874013"
"","C14 - Hospitales de salud mental y tratamiento de toxicomanías","1003000177","431","HOSPITAL PSIQUIATRICO PENITENCIARIO DE FONTCALENT","Comunitat Valenciana","Alicante/Alacant","Alicante/Alacant","COMPJ","CENTRO PENITENC. FONTCALEN","1","03113","DIRECTOR.ALICANTEP@DGIP.MIR.ES","965101761","965101230, 965102222","","Otras entidades u organismos públicos de dependencia estatal","Publicos","11/12/1990","11/12/1990","Modificacion administrativa","U.1 Medicina general/de familia,U.2 Enfermería,U.4 Podología,U.5 Vacunación,U.69 Psiquiatría,U.70 Psicología clínica,U.83 Farmacia,","38.352531394439","-0.56335508246474"
"","C11 - Hospitales Generales","1003000255","9574","HOSPITAL UNIVERSITARIO VINALOPO","Comunitat Valenciana","Alicante/Alacant","Elche/Elx","CALLE","TONICO SANSANO MORA","14","03293","DOCUMENTACION@VINALOPOSALUD.COM","966632102","966679800","","Servicios o Institutos de Salud de las comunidades autónomas","Publicos","31/05/2010","28/09/2020","Autorizacion de modificacion","U.1 Medicina general/de familia,U.10 Endocrinología,U.11 Nutrición y Dietética,U.13 Medicina interna,U.14 Nefrología,U.15 Diálisis,U.16 Neumología,U.17 Neurología,U.18 Neurofisiología,U.19 Oncología,U.2 Enfermería,U.20 Pediatría,U.22 Cuidados intermedios neonatales,U.24 Reumatología,U.25 Obstetricia,U.26 Ginecología,U.35 Anestesia y Reanimación,U.36 Tratamiento del dolor,U.37 Medicina intensiva,U.39 Angiología y Cirugía Vascular,U.4 Podología,U.40 Cirugía cardiaca,U.41 Hemodinámica,U.42 Cirugía torácica,U.43 Cirugía general y digestivo,U.44 Odontología/Estomatología,U.45 Cirugía maxilofacial,U.46 Cirugía plástica y reparadora,U.49 Neurocirugía,U.5 Vacunación,U.50 Oftalmología,U.52 Otorrinolaringología,U.53 Urología,U.54 Litotricia renal,U.55 Cirugía ortopédica y Traumatología,U.57 Rehabilitación,U.59 Fisioterapia,U.6 Alergología,U.61 Logopedia,U.62 Foniatría,U.63 Cirugía mayor ambulatoria,U.64 Cirugía menor ambulatoria,U.65 Hospital de día,U.66 Atención sanitaria domiciliaria,U.68 Urgencias,U.69 Psiquiatría,U.7 Cardiología,U.70 Psicología clínica,U.73 Análisis clínicos,U.77 Anatomía patológica,U.79 Hematología clínica,U.8 Dermatología,U.82 Servicio de transfusión,U.83 Farmacia,U.87 Medicina nuclear,U.88 Radiodiagnóstico,U.9 Aparato digestivo,U.90 Medicina preventiva,U.900 Otras unidades asistenciales,U.93 Extracción de órganos,U.95 Obtención de tejidos,U.96 Implantación de tejidos,U.99 Medicina del trabajo,","38.255359476055","-0.71605323648288"
"","C14 - Hospitales de salud mental y tratamiento de toxicomanías","0705001823","05-C14-0001","HOSPITAL DE SALUD MENTAL CASTA SALUD AREVALO","Castilla y León","Ávila","Arévalo","PASEO","SAN JUAN BOSCO","2","05200","DIRECCION.AREVALO@MENTALIASALUD.ES","920300951","920301400","","Privados","Privados","31/01/2017","23/05/2019","Modificacion administrativa","U.1 Medicina general/de familia,U.17 Neurología,U.2 Enfermería,U.59 Fisioterapia,U.60 Terapia ocupacional,U.61 Logopedia,U.69 Psiquiatría,U.70 Psicología clínica,U.72 Obtención de muestras,U.84 Depósito de medicamentos,U.900 Otras unidades asistenciales,","41.05407101863","-4.7215589657225"
"","C11 - Hospitales Generales","0705000769","05-C11-0001","HOSPITAL NUESTRA SEÑORA DE SONSOLES (COMPLEJO ASISTENCIAL DE AVILA)","Castilla y León","Ávila","Ávila","AVDA","DE JUAN CARLOS I, S/N","S/N","05071","GERENTE.HNSS@SALUDCASTILLAYLEON.ES","920358064","920358000","","Servicios o Institutos de Salud de las comunidades autónomas","Publicos","04/05/2001","16/09/2013","Autorizacion de modificacion","U.10 Endocrinología,U.12 Geriatría,U.13 Medicina interna,U.14 Nefrología,U.15 Diálisis,U.16 Neumología,U.17 Neurología,U.18 Neurofisiología,U.19 Oncología,U.2 Enfermería,U.20 Pediatría,U.22 Cuidados intermedios neonatales,U.25 Obstetricia,U.26 Ginecología,U.3 Enfermería obstétrico-ginecológica (matrona),U.35 Anestesia y Reanimación,U.37 Medicina intensiva,U.43 Cirugía general y digestivo,U.50 Oftalmología,U.52 Otorrinolaringología,U.53 Urología,U.55 Cirugía ortopédica y Traumatología,U.57 Rehabilitación,U.59 Fisioterapia,U.6 Alergología,U.63 Cirugía mayor ambulatoria,U.64 Cirugía menor ambulatoria,U.65 Hospital de día,U.68 Urgencias,U.7 Cardiología,U.72 Obtención de muestras,U.73 Análisis clínicos,U.74 Bioquímica clínica,U.76 Microbiología y Parasitología,U.77 Anatomía patológica,U.79 Hematología clínica,U.8 Dermatología,U.80 Laboratorio de hematología,U.81 Extracción de sangre para donación,U.82 Servicio de transfusión,U.83 Farmacia,U.88 Radiodiagnóstico,U.9 Aparato digestivo,U.90 Medicina preventiva,U.93 Extracción de órganos,U.95 Obtención de tejidos,U.96 Implantación de tejidos,U.99 Medicina del trabajo,","40.665910117592","-4.6667177542547"
"","C13 - Hospitales de media y larga estancia","1106000791","060080","RIBERA ALMENDRALEJO","Extremadura","Badajoz","Almendralejo","CALLE","MONSALUD","1","06200","AFONDON@RIBERASALUD.ES","","924670017","","Privados","Privados","27/07/2005","29/12/2020","Modificacion administrativa","U.1 Medicina general/de familia,U.2 Enfermería,U.59 Fisioterapia,U.84 Depósito de medicamentos,","38.681465779862","-6.4008595822987"
"","C11 - Hospitales Generales","1106000744","06006354","HOSPITAL PARQUE VEGAS ALTAS","Extremadura","Badajoz","Don Benito","AVDA","MADRID","1","06400","DADMINISTRACION.EXT@PARQUEHOSPITALES.ES","924812690","924808482","","Privados","Privados","02/11/2007","05/07/2019","Modificacion administrativa","U.1 Medicina general/de familia,U.16 Neumología,U.17 Neurología,U.18 Neurofisiología,U.2 Enfermería,U.20 Pediatría,U.25 Obstetricia,U.26 Ginecología,U.35 Anestesia y Reanimación,U.4 Podología,U.43 Cirugía general y digestivo,U.44 Odontología/Estomatología,U.48 Medicina estética,U.50 Oftalmología,U.52 Otorrinolaringología,U.53 Urología,U.55 Cirugía ortopédica y Traumatología,U.59 Fisioterapia,U.6 Alergología,U.61 Logopedia,U.63 Cirugía mayor ambulatoria,U.64 Cirugía menor ambulatoria,U.68 Urgencias,U.69 Psiquiatría,U.7 Cardiología,U.70 Psicología clínica,U.72 Obtención de muestras,U.73 Análisis clínicos,U.8 Dermatología,U.88 Radiodiagnóstico,U.9 Aparato digestivo,U.900 Otras unidades asistenciales,","38.962721843627","-5.8565101668122"
"","C11 - Hospitales Generales","1106000803","060220","HOSPITAL PERPETUO SOCORRO","Extremadura","Badajoz","Badajoz","AVDA","DAMIAN TELLEZ LAFUENTE","0","06010","SUBMED.HPSHMI@SALUD-JUNTAEX.ES","924215054","924215060","","Servicios o Institutos de Salud de las comunidades autónomas","Publicos","01/01/1954","20/06/2007","Modificacion administrativa","U.13 Medicina interna,U.15 Diálisis,U.2 Enfermería,U.35 Anestesia y Reanimación,U.37 Medicina intensiva,U.43 Cirugía general y digestivo,U.50 Oftalmología,U.52 Otorrinolaringología,U.53 Urología,U.55 Cirugía ortopédica y Traumatología,U.57 Rehabilitación,U.59 Fisioterapia,U.63 Cirugía mayor ambulatoria,U.64 Cirugía menor ambulatoria,U.68 Urgencias,U.71 Atención sanitaria a drogodependientes,U.72 Obtención de muestras,U.73 Análisis clínicos,U.76 Microbiología y Parasitología,U.77 Anatomía patológica,U.79 Hematología clínica,U.80 Laboratorio de hematología,U.81 Extracción de sangre para donación,U.82 Servicio de transfusión,U.83 Farmacia,U.88 Radiodiagnóstico,U.95 Obtención de tejidos,U.96 Implantación de tejidos,U.97 Banco de tejidos,U.99 Medicina del trabajo,","38.866920043382","-6.9715065901575"
"","C11 - Hospitales Generales","1106000795","060129","HOSPITAL DE MERIDA","Extremadura","Badajoz","Mérida","AVDA","DON ANTONIO CAMPOS HOYOS","26","06800","JULIAN.GARCIAM@SALUD-JUNTAEX.ES","924381012","924381000","","Servicios o Institutos de Salud de las comunidades autónomas","Publicos","01/05/1981","30/07/2014","Modificacion administrativa","U.10 Endocrinología,U.100 Transporte sanitario (carretera, aéreo, marítimo),U.11 Nutrición y Dietética,U.13 Medicina interna,U.16 Neumología,U.17 Neurología,U.18 Neurofisiología,U.19 Oncología,U.2 Enfermería,U.20 Pediatría,U.22 Cuidados intermedios neonatales,U.23 Cuidados intensivos neonatales,U.24 Reumatología,U.25 Obstetricia,U.26 Ginecología,U.3 Enfermería obstétrico-ginecológica (matrona),U.35 Anestesia y Reanimación,U.37 Medicina intensiva,U.41 Hemodinámica,U.43 Cirugía general y digestivo,U.5 Vacunación,U.50 Oftalmología,U.52 Otorrinolaringología,U.53 Urología,U.54 Litotricia renal,U.55 Cirugía ortopédica y Traumatología,U.57 Rehabilitación,U.58 Hidrología,U.59 Fisioterapia,U.6 Alergología,U.61 Logopedia,U.62 Foniatría,U.63 Cirugía mayor ambulatoria,U.64 Cirugía menor ambulatoria,U.65 Hospital de día,U.66 Atención sanitaria domiciliaria,U.67 Cuidados paliativos,U.68 Urgencias,U.7 Cardiología,U.70 Psicología clínica,U.72 Obtención de muestras,U.73 Análisis clínicos,U.74 Bioquímica clínica,U.76 Microbiología y Parasitología,U.77 Anatomía patológica,U.78 Genética,U.79 Hematología clínica,U.8 Dermatología,U.80 Laboratorio de hematología,U.81 Extracción de sangre para donación,U.82 Servicio de transfusión,U.83 Farmacia,U.84 Depósito de medicamentos,U.86 Radioterapia,U.88 Radiodiagnóstico,U.9 Aparato digestivo,U.90 Medicina preventiva,U.93 Extracción de órganos,U.95 Obtención de tejidos,U.96 Implantación de tejidos,U.97 Banco de tejidos,U.99 Medicina del trabajo,","38.912614845368","-6.3635932208071"
"","C11 - Hospitales Generales","1106001097","060286","HOSPITAL CLINICA EXTREMEÑA DE SALUD -FASE I-","Extremadura","Badajoz","Badajoz","CALLE","FEDERICO MAYOR ZARAGOZA","0","06006","BUIZADIEGO@GMAIL.COM","924222017","924245075","","Privados","Privados","27/12/2011","08/04/2020","Modificacion administrativa","U.1 Medicina general/de familia,U.13 Medicina interna,U.16 Neumología,U.17 Neurología,U.18 Neurofisiología,U.19 Oncología,U.20 Pediatría,U.21 Cirugía pediátrica,U.25 Obstetricia,U.26 Ginecología,U.3 Enfermería obstétrico-ginecológica (matrona),U.35 Anestesia y Reanimación,U.36 Tratamiento del dolor,U.37 Medicina intensiva,U.38 Quemados,U.4 Podología,U.43 Cirugía general y digestivo,U.45 Cirugía maxilofacial,U.46 Cirugía plástica y reparadora,U.47 Cirugía estética,U.48 Medicina estética,U.49 Neurocirugía,U.5 Vacunación,U.50 Oftalmología,U.52 Otorrinolaringología,U.53 Urología,U.55 Cirugía ortopédica y Traumatología,U.59 Fisioterapia,U.6 Alergología,U.63 Cirugía mayor ambulatoria,U.64 Cirugía menor ambulatoria,U.65 Hospital de día,U.68 Urgencias,U.69 Psiquiatría,U.7 Cardiología,U.72 Obtención de muestras,U.73 Análisis clínicos,U.77 Anatomía patológica,U.79 Hematología clínica,U.8 Dermatología,U.80 Laboratorio de hematología,U.82 Servicio de transfusión,U.83 Farmacia,U.88 Radiodiagnóstico,U.9 Aparato digestivo,U.900 Otras unidades asistenciales,","38.889617788693","-6.9983734361623"
